"Survived","Pclass","Sex","Age","SibSp","PrCh","Fare"
0,2,"male",19,1,1,36
1,3,"male",27,0,0,7
0,3,"female",9,2,2,34
0,2,"male",36,0,2,26
0,2,"male",42,0,0,13
0,2,"male",51,0,0,12
1,1,"female",22,1,0,66
0,3,"male",56,0,0,8
0,3,"male",40,0,2,14
0,1,"male",51,0,1,61
1,3,"female",16,0,0,7
0,3,"male",30,0,0,8
0,3,"male",44,0,1,16
1,2,"female",40,0,0,15
0,3,"male",26,0,0,7
0,3,"male",17,0,0,8
0,3,"male",1,0,1,39
1,3,"male",9,0,2,20
0,3,"female",45,1,0,27
0,3,"male",28,0,0,56
0,1,"male",61,0,0,33
0,3,"male",4,0,1,29
1,3,"female",1,1,1,11
0,3,"male",21,0,0,7
0,1,"male",56,0,0,30
0,3,"male",18,1,1,7
0,1,"female",50,0,0,28
0,2,"male",30,0,0,13
0,3,"male",36,0,0,0
0,3,"male",9,0,2,31
1,2,"male",1,2,1,39
1,3,"female",4,0,2,22
1,1,"male",45,0,0,26
0,3,"male",40,1,1,15
0,3,"male",36,0,0,7
1,2,"female",32,0,0,13
0,2,"male",19,0,0,13
1,3,"female",19,1,0,7
1,2,"male",3,1,1,26
1,1,"female",44,0,0,27
1,1,"female",58,0,0,15
0,3,"male",42,0,1,8
0,2,"female",24,0,0,13
0,3,"male",28,0,0,9
0,3,"male",34,0,0,6
0,3,"male",46,0,0,7
1,3,"male",18,0,0,8
0,3,"female",2,0,1,10
0,3,"male",32,1,0,15
1,3,"male",26,0,0,18
1,3,"female",16,0,0,7
1,1,"male",40,0,0,31
0,3,"male",24,0,0,7
1,2,"female",35,0,0,21
0,3,"male",22,0,0,7
0,2,"male",30,0,0,13
1,1,"female",31,1,0,15
1,3,"female",27,0,0,7
0,2,"male",42,1,0,27
1,1,"female",32,0,0,15
0,2,"male",30,0,0,10
1,3,"male",16,0,0,8
0,2,"male",27,0,0,13
0,3,"male",51,0,0,8
1,1,"male",38,1,0,15
0,3,"male",22,0,0,9
1,2,"male",19,0,0,10
0,3,"male",20,0,0,7
0,2,"male",18,0,0,13
1,1,"female",35,1,0,15
0,3,"male",29,0,0,7
0,2,"male",59,0,0,13
1,3,"female",5,0,2,31
0,2,"male",24,0,0,10
0,2,"male",44,1,0,26
1,2,"female",8,0,2,26
0,2,"male",19,0,0,10
0,2,"male",33,0,0,12
0,2,"male",29,0,0,10
0,3,"male",22,0,0,7
0,3,"male",30,0,0,7
0,1,"male",44,2,0,15
0,3,"female",25,0,0,7
1,2,"female",24,0,2,14
1,1,"male",37,1,1,52
0,2,"male",54,1,0,26
0,3,"female",29,1,1,10
0,1,"male",62,0,0,26
0,3,"male",30,1,0,16
0,3,"female",41,0,2,20
1,3,"female",29,0,2,15
1,1,"female",30,0,0,15
1,1,"female",35,0,0,15
1,2,"female",50,0,1,26
1,3,"male",3,0,2,31
0,1,"male",52,1,1,15
0,1,"male",40,0,0,0
0,2,"male",36,0,0,10
0,3,"male",16,0,1,39
1,3,"male",25,1,0,7
1,1,"female",58,0,1,15
1,1,"female",35,0,0,15
1,3,"male",25,0,0,0
1,2,"female",41,0,1,19
0,1,"male",37,0,1,29
1,1,"female",63,1,0,15
0,3,"female",45,0,0,7
0,3,"male",7,0,1,29
1,3,"female",35,1,1,20
0,3,"male",65,0,0,7
0,3,"male",28,0,0,7
0,3,"male",16,0,0,9
1,3,"male",19,0,0,8
0,3,"male",33,0,0,8
1,3,"male",30,0,0,9
0,3,"male",22,0,0,7
1,2,"male",42,0,0,13
1,3,"female",22,0,0,7
1,1,"female",26,0,0,15
1,1,"female",19,1,0,15
0,2,"male",36,0,0,12
0,3,"female",24,0,0,8
0,3,"male",24,0,0,7
0,3,"male",24,0,0,7
0,1,"female",2,1,2,15
1,1,"female",50,0,1,15
0,3,"male",19,0,0,0
1,1,"male",1,1,2,15
1,1,"female",17,1,0,15
0,2,"male",30,1,0,24
1,1,"female",30,0,0,56
1,1,"female",24,0,0,15
1,1,"female",18,2,2,15
0,2,"female",26,1,1,26
0,3,"male",28,0,0,7
0,2,"male",43,1,1,26
1,3,"female",26,0,0,7
1,2,"female",24,1,0,26
0,2,"male",54,0,0,14
1,1,"female",31,0,2,15
1,1,"female",40,1,1,15
0,3,"male",22,0,0,7
0,3,"male",27,0,0,7
1,2,"female",30,0,0,12
1,2,"female",22,1,1,29
1,1,"female",36,0,0,15
0,3,"male",61,0,0,6
1,2,"female",36,0,0,13
1,3,"female",31,1,1,20
1,1,"female",16,0,1,57
0,1,"male",46,0,0,28
0,1,"male",38,0,1,15
0,3,"male",16,2,0,18
0,1,"male",29,1,0,66
1,1,"female",41,0,0,15
1,3,"male",45,0,0,8
0,1,"male",45,0,0,35
1,2,"male",2,1,1,26
1,1,"female",24,0,2,15
0,2,"male",28,0,0,13
0,2,"male",25,0,0,13
0,2,"male",36,0,0,13
1,2,"female",24,0,0,13
1,2,"female",40,0,0,13
1,3,"male",3,1,1,15
0,3,"male",42,0,0,8
0,3,"male",23,0,0,9
0,3,"male",15,1,1,7
0,3,"male",25,1,0,17
0,3,"male",28,0,0,9
1,1,"female",22,0,1,55
0,2,"female",38,0,0,13
0,3,"male",40,1,0,27
0,2,"male",29,1,0,27
0,3,"female",45,0,1,14
0,3,"male",35,0,0,7
0,3,"male",30,0,0,7
1,1,"female",60,1,0,15
1,1,"female",24,0,0,69
1,1,"male",25,1,0,55
0,3,"male",18,1,0,6
0,3,"male",19,0,0,8
0,1,"male",22,0,0,15
0,3,"female",3,0,1,21
1,3,"female",22,0,0,7
0,1,"male",27,0,2,15
0,3,"male",20,0,0,4
0,3,"male",19,0,0,7
1,1,"female",42,0,0,15
1,3,"female",1,0,2,15
0,3,"male",32,0,0,7
1,1,"female",35,1,0,52
0,2,"male",18,0,0,15
0,3,"male",1,0,2,46
1,2,"female",36,0,0,13
1,2,"female",17,0,0,12
1,1,"male",36,1,2,15
1,3,"male",21,0,0,7
0,3,"male",28,2,0,7
1,1,"female",23,1,0,15
1,3,"female",24,0,2,16
0,3,"male",22,0,0,7
0,3,"female",31,0,0,7
0,2,"male",46,0,0,26
0,2,"male",23,0,0,10
1,2,"female",28,0,0,12
1,3,"male",39,0,0,7
0,3,"male",26,0,0,8
0,3,"female",21,1,0,9
0,3,"male",28,1,0,15
0,3,"female",20,0,0,8
0,2,"male",34,1,0,21
0,3,"male",51,0,0,7
1,2,"male",3,1,1,18
0,3,"male",21,0,0,7
1,1,"female",33,1,0,15
1,3,"male",44,0,0,7
1,2,"female",34,1,1,32
1,2,"female",18,0,2,13
0,2,"male",30,0,0,13
0,3,"female",10,0,2,24
0,3,"male",21,0,0,7
0,3,"male",29,0,0,7
0,3,"female",28,1,1,14
0,3,"male",18,1,1,20
1,2,"female",28,1,0,26
1,2,"female",19,0,0,26
1,3,"male",32,0,0,8
1,1,"male",28,0,0,26
1,2,"female",42,1,0,26
0,3,"male",17,0,0,7
0,1,"male",50,1,0,55
1,1,"female",14,1,2,15
0,3,"female",21,2,2,34
1,2,"female",24,2,0,18
0,1,"male",64,1,0,15
0,2,"male",31,0,0,10
1,2,"female",45,1,1,26
0,3,"male",20,0,0,9
0,3,"male",25,1,0,7
1,2,"female",28,0,0,13
1,1,"male",4,0,2,15
1,2,"female",13,0,1,19
1,1,"male",34,0,0,26
1,3,"female",5,2,1,19
1,1,"male",52,0,0,30
0,2,"male",36,1,2,27
0,1,"male",30,0,0,27
1,1,"male",49,1,0,15
1,3,"male",29,0,0,7
0,1,"male",65,0,0,26
1,2,"female",50,0,0,10
1,1,"male",48,0,0,26
0,3,"male",34,0,0,8
0,1,"male",47,0,0,38
0,2,"male",48,0,0,13
0,3,"male",38,0,0,7
0,1,"male",56,0,0,26
1,3,"female",1,2,1,19
0,3,"male",38,0,0,8
1,2,"female",33,1,2,27
1,2,"female",23,0,0,13
0,3,"female",22,0,0,9
0,2,"male",34,1,0,21
0,3,"male",29,1,0,7
0,3,"male",22,0,0,7
1,3,"female",2,0,1,12
0,3,"male",9,0,2,46
0,3,"male",50,0,0,8
1,3,"female",63,0,0,9
1,1,"male",25,1,0,15
1,1,"female",35,1,0,15
0,1,"male",58,0,0,29
0,3,"male",30,0,0,8
1,3,"male",9,1,1,15
0,3,"male",21,0,0,7
0,1,"male",55,0,0,30
0,1,"male",28,0,0,49
0,3,"male",21,0,0,8
1,1,"female",54,1,0,15
0,1,"female",25,1,2,15
0,3,"male",24,0,0,7
0,3,"male",17,0,0,8
0,3,"female",21,0,0,7
0,3,"female",37,0,0,9
1,1,"female",16,0,0,15
0,1,"male",18,1,0,15
1,2,"female",33,0,2,26
0,3,"male",28,0,0,22
1,3,"male",26,0,0,56
1,3,"male",29,0,0,7
1,1,"male",36,0,0,26
1,1,"female",54,1,0,59
0,3,"male",24,0,0,7
0,1,"male",47,0,0,34
1,2,"female",34,0,0,10
1,2,"female",36,1,0,26
0,3,"male",32,0,0,7
1,1,"female",30,0,0,15
0,3,"male",22,0,0,7
1,1,"female",44,0,1,57
0,3,"male",40,0,0,7
1,2,"female",50,0,0,10
0,3,"male",39,0,0,7
0,2,"male",23,2,1,11
1,2,"female",2,1,1,26
0,3,"male",17,1,1,7
0,3,"female",30,0,0,8
1,2,"female",7,0,2,26
0,1,"male",45,0,0,26
1,1,"female",30,0,0,15
1,1,"female",22,0,2,49
1,1,"female",36,0,2,15
0,3,"female",9,0,2,31
0,3,"female",11,0,2,31
1,2,"male",32,1,0,26
0,1,"male",50,1,0,15
0,1,"male",64,0,0,26
1,2,"female",19,1,0,26
0,3,"male",33,1,1,20
1,2,"male",8,1,1,36
1,1,"male",17,0,2,15
0,2,"male",27,0,0,26
1,3,"male",22,0,0,7
1,3,"female",22,0,0,7
0,1,"male",62,0,0,26
1,1,"female",48,1,0,39
1,1,"female",39,1,1,15
1,3,"female",36,1,0,17
0,3,"male",40,0,0,7
0,2,"male",28,0,0,13
0,3,"male",24,2,0,24
0,3,"male",19,0,0,7
0,3,"female",29,0,0,21
1,3,"male",32,0,0,7
1,2,"male",62,0,0,10
1,1,"female",53,2,0,51
1,1,"male",36,0,0,26
0,3,"male",16,0,0,8
0,3,"male",19,0,0,14
1,2,"female",34,0,0,13
1,1,"female",39,1,0,55
1,3,"male",32,0,0,7
1,2,"female",25,1,1,30
1,1,"female",39,1,1,15
0,2,"male",54,0,0,26
0,1,"male",36,0,0,40
1,1,"female",18,0,2,15
0,2,"male",47,0,0,15
1,1,"male",60,1,1,15
0,3,"male",22,0,0,8
0,3,"male",35,0,0,7
1,1,"female",52,1,0,15
0,3,"male",47,0,0,7
0,2,"male",37,1,0,26
0,3,"male",36,1,1,24
0,3,"male",49,0,0,0
1,1,"male",49,1,0,56
1,2,"female",24,2,1,27
0,3,"male",44,0,0,8
1,1,"male",35,0,0,26
0,3,"male",36,1,0,15
0,3,"male",30,0,0,7
1,1,"male",27,0,0,30
1,2,"female",22,1,2,41
1,1,"female",40,0,0,15
0,3,"female",39,1,0,31
0,3,"male",35,0,0,8
1,2,"female",24,1,2,65
0,3,"male",34,1,1,14
0,3,"female",26,1,0,16
1,2,"female",4,2,1,39
0,2,"male",26,0,0,10
0,3,"male",27,1,0,14
1,1,"male",42,1,0,52
1,3,"male",20,1,1,15
0,3,"male",21,0,0,7
0,3,"male",21,0,0,16
0,1,"male",61,0,0,32
0,2,"male",57,0,0,12
1,1,"female",21,0,0,15
0,3,"male",26,0,0,7
1,1,"male",28,0,0,30
0,3,"male",51,0,0,7
1,1,"male",32,0,0,30
0,3,"female",9,0,2,27
1,2,"female",28,0,0,13
0,3,"male",32,0,0,7
0,2,"male",31,1,1,26
0,3,"female",41,0,0,39
0,3,"male",20,0,0,7
1,1,"female",24,0,0,69
0,3,"female",2,0,2,27
1,3,"female",1,2,1,19
1,1,"male",48,1,0,15
0,3,"male",19,0,0,7
1,1,"male",56,0,0,35
1,3,"female",23,0,0,7
1,2,"female",18,0,1,23
0,3,"male",21,0,0,8
0,3,"female",18,0,0,6
0,2,"male",24,2,0,15
0,3,"female",32,1,1,15
0,2,"male",23,0,0,13
0,1,"male",58,0,2,15
1,1,"male",50,2,0,15
0,3,"male",40,0,0,7
0,1,"male",47,0,0,25
0,3,"male",36,0,0,7
1,3,"male",20,1,0,7
0,2,"male",32,2,0,15
0,2,"male",25,0,0,13
0,3,"male",43,0,0,8
1,2,"female",40,1,1,39
0,1,"male",31,1,0,52
0,2,"male",28,0,0,10
1,2,"male",31,0,0,13
0,3,"male",18,0,0,7
0,3,"male",24,0,0,8
1,3,"female",18,0,0,9
0,3,"female",43,1,0,46
1,1,"male",36,0,1,15
1,1,"male",27,0,0,15
0,3,"male",20,0,0,9
0,3,"male",14,0,2,46
0,2,"male",60,1,1,39
0,2,"male",25,1,2,41
0,3,"male",14,0,1,39
0,3,"male",19,0,0,10
0,3,"male",18,0,0,7
1,1,"female",15,0,1,15
1,1,"male",31,1,0,57
1,3,"female",4,0,1,13
0,3,"male",25,0,0,7
0,1,"male",60,0,0,26
0,2,"male",52,0,0,13
0,3,"male",44,0,0,8
0,1,"male",49,1,1,15
0,3,"male",42,0,0,7
1,1,"female",18,1,0,15
1,1,"male",35,0,0,26
0,3,"female",18,0,1,14
0,3,"male",25,0,0,7
0,3,"male",26,1,0,7
0,2,"male",39,0,0,26
1,2,"female",45,0,0,13
1,1,"male",42,0,0,26
1,1,"female",22,0,0,15
1,1,"female",24,0,0,49
1,1,"male",48,1,0,52
0,3,"male",29,0,0,9
0,2,"male",52,0,0,13
0,3,"male",19,0,0,7
1,1,"female",38,0,0,15
1,2,"female",27,0,0,10
0,3,"male",33,0,0,7
1,2,"female",6,0,1,33
0,3,"male",17,1,0,7
0,2,"male",34,0,0,13
0,2,"male",50,0,0,13
1,1,"male",27,1,0,53
0,3,"male",20,0,0,8
1,2,"female",30,0,0,21
0,2,"male",25,1,0,26
0,3,"female",25,1,0,7
1,1,"female",29,0,0,15
0,3,"male",11,0,0,18
0,2,"male",23,0,0,13
0,2,"male",23,0,0,13
0,3,"male",28,0,0,16
0,3,"female",48,1,0,34
1,1,"male",35,0,0,15
0,1,"male",36,1,0,15
1,1,"female",21,2,2,15
0,3,"male",24,1,0,16
1,3,"male",31,0,0,7
0,1,"male",28,1,1,15
0,3,"male",16,1,1,20
1,2,"female",30,0,0,13
0,1,"male",19,1,0,53
0,3,"male",31,0,0,7
1,2,"female",4,1,1,23
1,3,"male",6,0,1,12
0,3,"male",33,0,0,9
0,3,"male",23,0,0,7
1,2,"female",48,1,2,65
1,2,"male",1,1,1,14
0,3,"male",28,0,0,7
0,2,"male",18,0,0,11
0,3,"male",34,0,0,8
1,1,"female",33,0,0,15
0,3,"male",41,0,0,7
1,3,"male",20,0,0,7
1,1,"female",36,1,2,15
0,3,"male",16,0,0,7
1,1,"female",51,1,0,15
0,3,"female",30,0,0,7
0,3,"male",32,0,0,8
0,3,"male",24,0,0,9
0,3,"male",48,0,0,7
0,2,"female",57,0,0,10
1,2,"female",54,1,0,23
0,3,"male",18,0,0,7
1,3,"female",5,0,0,12
1,1,"female",43,0,1,15
1,3,"female",13,0,0,7
1,1,"female",17,1,0,57
0,1,"male",29,0,0,30
0,3,"male",25,0,0,7
0,3,"male",25,0,0,7
1,3,"female",18,0,0,7
0,3,"male",8,0,1,29
1,3,"male",1,1,2,20
0,1,"male",46,0,0,15
0,2,"male",16,0,0,26
0,3,"male",25,0,0,7
0,2,"male",39,0,0,13
1,1,"female",49,0,0,25
1,3,"female",31,0,0,8
0,3,"male",30,0,0,7
0,3,"female",30,1,1,24
0,2,"male",34,0,0,13
1,2,"female",31,1,1,26
1,1,"male",11,1,2,15
1,3,"male",0,0,1,8
1,3,"male",27,0,0,6
0,3,"male",31,0,0,7
0,1,"male",39,0,0,0
0,3,"female",18,0,0,7
0,2,"male",39,0,0,13
1,1,"female",33,1,0,53
0,3,"male",26,0,0,7
0,3,"male",39,0,0,24
0,2,"male",35,0,0,10
0,3,"female",6,0,2,31
0,3,"male",30,0,0,8
0,3,"female",23,0,0,7
0,2,"male",31,1,1,37
0,3,"male",43,0,0,6
0,3,"male",10,0,2,27
1,1,"female",52,1,1,15
1,3,"male",27,0,0,8
0,1,"male",38,0,0,0
1,3,"female",27,0,1,12
0,3,"male",2,0,1,39
1,2,"male",1,0,2,37
1,1,"female",62,0,0,15
1,3,"female",15,1,0,14
1,2,"male",1,1,1,18
0,3,"male",23,0,0,7
0,3,"male",18,0,0,8
1,1,"female",39,1,1,15
0,3,"male",21,0,0,8
1,3,"male",32,0,0,56
0,3,"male",20,0,0,7
0,2,"male",16,0,0,10
1,1,"female",30,0,0,31
0,3,"male",34,0,0,6
0,3,"male",17,0,0,8
0,3,"male",42,0,0,7
0,3,"male",35,0,0,7
0,2,"male",28,0,1,33
0,3,"male",4,0,2,31
0,3,"male",28,0,0,7
0,3,"female",9,1,1,15
1,1,"female",16,0,1,39
0,2,"female",44,1,0,26
1,3,"female",18,0,1,9
1,1,"female",45,1,1,15
1,1,"male",51,0,0,26
1,3,"female",24,0,0,19
0,3,"male",41,2,0,14
0,2,"male",21,1,0,11
1,1,"female",48,0,0,25
0,2,"male",24,0,0,13
1,2,"female",42,0,0,13
1,2,"female",27,1,0,13
0,1,"male",31,0,0,50
1,3,"male",4,1,1,11
0,3,"male",26,0,0,7
1,1,"female",47,1,1,52
0,1,"male",33,0,0,5
0,3,"male",47,0,0,9
1,2,"female",28,1,0,24
1,3,"female",15,0,0,7
0,3,"male",20,0,0,9
0,3,"male",19,0,0,7
1,1,"female",56,0,1,15
1,2,"female",25,0,1,26
0,3,"male",33,0,0,7
0,3,"female",22,0,0,10
0,2,"male",28,0,0,10
0,3,"male",25,0,0,7
0,3,"female",39,0,0,29
0,2,"male",27,0,0,13
1,1,"female",19,0,0,30
1,1,"male",26,0,0,30
0,3,"male",32,0,0,7
